683256,4
523253,2
552689,2
413633,1
504499,1
682796,3
705202,3
457341,1
589920,2
546366,2
492685,2
483684,2
1075038,8
546050,1
523343,2
653614,3
947561,6
476468,2
493154,2
554311,2
791752,5
385238,2
428772,1
524692,2
547115,2
451386,1
659011,3
768207,5
398441,1
510902,2
408727,1
967625,8
367063,1
482987,1
438090,1
468523,1
531850,2
572051,2
332005,0
301784,0
645121,1
631784,2
438287,1
387417,0
882053,6
317113,1
820608,5
469815,1
508364,2
634714,3
523563,1
482429,2
596890,2
433879,1
832724,5
543043,1
354520,1
1104995,8
825501,5
1050134,8
652736,3
502875,2
626170,3
371327,1
514110,1
970409,6
743971,4
486296,1
734139,3
733341,4
837730,5
286892,1
363325,0
483473,1
435018,1
626744,3
683121,3
548934,3
1020453,8
666850,2
498337,2
485824,1
625212,4
523957,1
1063672,8
1052855,6
319079,0
495761,3
425355,1
500942,3
377145,1
414245,1
362973,0
343133,0
414413,1
600130,2
572246,2
514195,2
621832,3
810694,5
